Wallet;Balance;Type
0x1509E9dA3c80cB574CCeF72eA0Cfd0D02f838562;"71805,5421";wallet
0xA8B54E8A47c18b5d90e2BFF9E29615Db228a1E5C;"71585,07936";wallet
0xff5EFAC524F8334fB19fE7dee4b2A7c09f248a73;"71337,55125";wallet
0x3F14004e0887223CC797523485Dab82F132D24b2;"70801,89393";wallet
0xdE8a21E3afD13680a41b14657900ED026180cFe5;"70650,603";wallet
0x6D6744EE104fC62b411236752931cE4876859203;"70637,71714";wallet
0xecB83C5bC819151Df79c36c2ED6Ff5388ea6483a;"70250,75852";wallet
0x893588bB1040abfd2d820Fb997dD43CC22De1311;"70078,55841";wallet
0x500ACa4B3295CBb8f6231E6A70eCA18dEB302dDF;"69651,62795";wallet
0x92DeF0D71bab11C80aAc73b631A74F6Cb7bd999a;"69122,30242";wallet
0x87027945D66e6bE9E56792EC69A8B605B21d7a09;"69037,45445";wallet
0xca37FC71CCCCEB769C396e0c211BAa4ddd64f832;"68939,87397";wallet
0x91911E488791Fb4629Edd8d1a5b4A685d44CE46a;"68678,89444";wallet
0x29D05DFC80acEdB5a9bC70eB0fc00614F71810E9;"67484,3211";wallet
0x14640F51c54a211e0b8a2121C988Cc29F0F9d7B8;"67381,11837";wallet
0x9bBba0BB8EF42691831b0e8dB70d4588748E33ba;"67168,35505";wallet
0x63BaDF69a6442257a6CbABa0ef9ef5747AD5BEf2;"67085,50688";wallet
0x8b459e5E83169Ed75fB6C687a109Fb147208c668;"66128,21072";wallet
0xc181340813A3B69bD0CDE971a317cd47DF1Cde96;"65324,16242";wallet
0x3845fE014CD780ff2f7e02CC288d389A9E6a6f3d;"65292,35114";wallet
0xF1F045D0993963e9890C0Dde2C4CF591ac36565c;"65109,75905";wallet
0x87a6Dc9d8206c68E83de7660011cE8aF5538Ed21;"64579,61606";wallet
0x9FD1233187367D9427F5266142Cf5795e5C16a05;"64450,79102";wallet
0xA8FF7851918b62B3E8CAA402519863f7a411A049;"64018,83262";wallet
0x9C2a3479fb85463D63Af0479667f2113b475C0Ac;"63963,68952";wallet
0xB0D8e7Afc2dEA4F490e77090BdeF588E30464d57;"63735,95514";wallet
0x1eA2327cc994EDdc656608e0E193eA9f062Ba2f6;"63214,67717";wallet
0x0DEF5188639181319cEC71f218199B741596cE77;"63206,83817";wallet
0xe59C68b2c56C208527B6E779FBB51b7d1492FcEb;"63131,56716";wallet
0x7dF0bC5df4F58612b5565Aa7338cB6620b49eE9a;"62752,05029";wallet
0x3ae5E02d0261b691a298226cB8cb092a3B3F88E3;"62739,8485";wallet
0x27036d0384725A66F36C47019a52dE93a3DdaBBa;"61677,33";wallet
0xfe77E8b876d0E7612C89598b156a1Cc62a3398d1;"61291,24022";wallet
